Loading file json/greenwood-volume-42.json data...
File json/greenwood-volume-42.json data loaded...
Loading ES Index interments data...
Starting new HTTPS connection (1): green-wood-hrrhhxs-arc.searchbase.io:443
https://green-wood-hrrhhxs-arc.searchbase.io:443 "POST /interments/_search HTTP/1.1" 200 None
Starting new HTTPS connection (1): green-wood-hrrhhxs-arc.searchbase.io:443
https://green-wood-hrrhhxs-arc.searchbase.io:443 "POST /interments/_search HTTP/1.1" 200 None
Starting new HTTPS connection (1): green-wood-hrrhhxs-arc.searchbase.io:443
https://green-wood-hrrhhxs-arc.searchbase.io:443 "POST /interments/_search HTTP/1.1" 200 None
Starting new HTTPS connection (1): green-wood-hrrhhxs-arc.searchbase.io:443
https://green-wood-hrrhhxs-arc.searchbase.io:443 "POST /interments/_search HTTP/1.1" 200 None
Starting new HTTPS connection (1): green-wood-hrrhhxs-arc.searchbase.io:443
https://green-wood-hrrhhxs-arc.searchbase.io:443 "POST /interments/_search HTTP/1.1" 200 None
Starting new HTTPS connection (1): green-wood-hrrhhxs-arc.searchbase.io:443
https://green-wood-hrrhhxs-arc.searchbase.io:443 "POST /interments/_search HTTP/1.1" 200 None
Starting new HTTPS connection (1): green-wood-hrrhhxs-arc.searchbase.io:443
https://green-wood-hrrhhxs-arc.searchbase.io:443 "POST /interments/_search HTTP/1.1" 200 None
Starting new HTTPS connection (1): green-wood-hrrhhxs-arc.searchbase.io:443
https://green-wood-hrrhhxs-arc.searchbase.io:443 "POST /interments/_search HTTP/1.1" 200 None
Loaded 6781 records from index interments...
The index interments and the file json/greenwood-volume-42.json have different number of rows.
interments = 6781
json/greenwood-volume-42.json = 6838
